,EXEC,IPC,L3HIT,GT,Pred
2389,0.4374350086655113,0.47813822284975754,0.9096064042698165,1.08899601588,1.0202787409836014
2412,0.251415366840208,0.5867418899881337,0.3835890593727097,0.981868404458,1.0018259060269021
4338,0.24956672443674177,0.5768688293364977,0.3652434956638977,1.00903354402,1.007370165728895
1614,0.27469670710571925,0.24531029619216546,0.5441127418280668,1.0564316977200001,1.0451032822212059
2775,0.4450606585788562,0.4880112834971622,0.8995997331557372,1.05194806213,1.0172736350728337
3304,0.3856730213746968,0.35994358251122704,0.9866577718482278,1.04540132199,1.0676537785431124
3222,0.251415366840208,0.5782792665748636,0.3755837224814462,0.986143259231,1.003818297036005
4345,0.43419988445961877,0.48942172073552814,0.8779186124082314,1.06202817958,1.0071060366216442
1287,0.2486424032353553,0.5754583921023632,0.3549032688463492,1.00119404378,1.0106148800385322
2783,0.38082033506620455,0.3555712270807554,0.984989993328881,1.03425891551,1.067107702559058
4012,0.973310225303293,0.5703808180544011,0.975850567045022,1.5305589236300001,1.5335981802480205
2380,0.42541883304471406,0.47531734837725714,0.9436290860576864,1.0516980074,1.0268677517257714
1070,0.24852686308492203,0.2898448519044991,0.4890760507006302,1.0732913761299998,1.0354086650606784
3309,0.2299826689774697,0.3898095909737515,0.41552701801214664,1.0393182727899999,1.0234459971919054
612,0.7856730213726171,0.8744710860393151,0.4873248832556663,1.0622343627,1.0418921006513007
1253,0.6796071634890815,0.5289139633293779,0.4629753168784066,1.03647009357,1.0505890385484358
3892,0.9705372616984402,0.5695345557130741,0.9590393595733687,1.6066020107799999,1.519240816439933
14,0.2541883304450607,0.5895627644564028,0.3902601734490962,1.0223481858299999,0.9989813434725965
2053,0.251415366840208,0.5839210155156331,0.38158772514989386,1.00457318318,1.0023042101922957
1056,0.25118428653934144,0.5811001410431327,0.3822548365578327,1.0317921993999999,1.002214453219531
1976,0.25280184864263433,0.5811001410431327,0.39993328885970647,1.02487352702,0.9971513684351535
2776,0.24933564413656847,0.5782792665748636,0.3755837224814462,1.04113024102,1.0047356948466966
2636,0.7024841132270363,0.5430183356834175,0.687124749833785,1.06541939903,1.094860782052831
2407,0.2421143847487002,0.30052891396375253,0.4820713809207746,1.0280597131,1.0336386564817996
2415,0.9913344887348354,0.5796897038089982,0.9604402935293398,1.49766681738,1.5469986136721188
4003,0.367417677642981,0.8504936530336396,0.33789192795241424,0.986966274108,1.0007571088594813
2379,0.21143847487001735,0.48942172073552814,0.9639759839893143,0.965798420149,1.0048448715341693
2375,0.25233968804159446,0.5825105782814987,0.37958639092707797,0.981533260683,1.002399245435086
373,0.20958983246655113,0.3380818053601384,0.38125416944642476,1.05136513988,1.0516530001719648
2549,0.5432697862509532,0.6332863187611188,0.8602401601073585,1.03801482858,1.0118644234191538
2788,0.2507221259389948,0.5796897038089982,0.38425617078064855,0.984032031082,1.0019013690418046
2050,0.9913344887348354,0.5822284908329791,0.967645096731477,1.54952334409,1.5499705927024827
1946,0.6763720392838822,0.5260930888568773,0.6310873915949404,1.04826217639,1.069497940077067
2554,0.9705372616984402,0.5678420310304201,0.9592394929956503,1.6576190927599999,1.5204141475196016
4260,0.2488734835355286,0.5811001410431327,0.36624416277530564,1.02941513064,1.0074357413364345
1925,0.7949162333934143,0.8688293370943143,0.5236824549698212,1.03075655122,1.0529299487349983
3302,0.9899480069324091,0.5788434414676712,0.974449633089051,1.5187749168900002,1.554162146098998
1930,0.9885615251299827,0.5796897038089982,0.9624416277521557,1.561728245,1.5437811859045942
1922,0.23674176776429812,0.31057827926701076,0.47906937958655077,1.0692947668200001,1.0316465954946004
3055,0.9691507798960141,0.5669957686890932,0.973448965977643,1.62576432225,1.5275927107665923
3227,0.44274985557504337,0.49224259520379726,0.9209472981987729,1.0181282276,1.0213549146779248
1260,0.7579433853240901,0.8561354019744093,0.4479653102072876,1.04445824869,1.0226827652676183
2374,0.2541883304450607,0.5796897038089982,0.40760507004650026,0.972347387913,0.9947586939371874
3379,0.27417677642980937,0.252503526093445,0.5371080720482112,1.06488441737,1.0425000577574954
2408,0.34523396880415946,0.801128349788154,0.3325550366909048,0.971486501276,0.9992890966372658
405,0.25118428653934144,0.5853314527497677,0.3689126084060604,0.977958348557,1.0057246384350127
1981,0.288734835355286,0.23949224259554233,0.5878919279521642,1.05762358468,1.0449791254521716
4002,0.25049104563812824,0.5825105782814987,0.38392261507717945,0.992465732184,1.0021042877852104
402,0.9954939341421144,0.5830747531743062,0.9770513675787117,1.4759648615600003,1.5622205484762781
4001,0.38382437897192373,0.3572637517634094,0.9883255503675746,0.9983452674500001,1.0686279819284759
2470,0.7879838243812826,0.8702397743326802,0.4903268845898901,0.992816003147,1.0439274609427955
1947,0.24540727902946274,0.2921720733431483,0.475316877918771,1.0456420051000002,1.0372146167849507
1,0.21190063547105722,0.34696755994407186,0.39159439626397324,1.03899335476,1.0457598252617437
3894,0.2268630849220104,0.3836741889991307,0.41177451634436685,1.02728793167,1.026718107103254
3378,0.25002888503778165,0.5782792665748636,0.35790527018057305,1.0195322797700002,1.0091650231255853
608,0.3470826112076257,0.805359661494789,0.33488992661819045,1.01699924206,0.9988540348743271
3891,0.25095320623916817,0.5811001410431327,0.36824549699812154,0.9994495477840001,1.0059660322003867
1487,0.688734835355286,0.5342031029626716,0.7752668445633007,1.1700833661299999,1.1118352722966336
2390,0.27746967071057194,0.23568406205957082,0.5556204136092582,1.0502407626799999,1.0485979038797177
2732,0.2488734835355286,0.5768688293364977,0.36457638425595884,1.00871620928,1.0078611088042928
2630,0.253264009242981,0.5853314527497677,0.3732488325551612,0.977097903126,1.003656578788242
3219,0.7856730213726171,0.8617771509194101,0.5063375583724171,1.0130945600299999,1.0448371044648188
4300,0.27764298093587525,0.23399153737691675,0.5523682454971823,1.01219983952,1.049660166786177
12,0.39029462738301557,0.36488011283535243,0.9896597731824517,1.0774200915899999,1.0683713531023136
2794,0.25280184864263433,0.5867418899881337,0.3692461641095295,0.986161751836,1.0049301304865548
3226,0.23830155979202775,0.3080394922430297,0.475567044696623,1.0202057888,1.032795162139853
4289,0.251415366840208,0.5796897038089982,0.36157438292173505,0.9805073330859999,1.007545285537716
383,0.5589832466779896,0.6530324400559282,0.8402268178791997,1.00636317766,1.0098877796988786
2559,0.23795493934142117,0.3100493653036813,0.47306537691810313,1.063911222,1.0326015424010162
4291,0.25002888503778165,0.5811001410431327,0.3575717144761033,0.971190258416,1.0092743621664906
2386,0.3505488157136915,0.8110014104397898,0.3242161440961722,1.01249499188,1.0014178442722959
2471,0.43512420566169846,0.48660084626302763,0.9426284189462786,1.010149723,1.026770941329782
1950,0.2128249566724437,0.4936530324421632,0.9633088725823762,0.998994838643,1.0040395767688879
3052,0.44159445407279035,0.4837799717905272,0.9099399599732855,1.03049558059,1.020207605140035
2383,0.23760831889081457,0.31078984485234246,0.46480987324898765,1.0168074043200002,1.0338675596706848
3224,0.36811091854419414,0.8533145275061401,0.3242161440961722,0.9800589371439999,1.0046196203373414
15,0.28162911611785096,0.23949224259554233,0.5651267511676334,1.0544819573200002,1.0461076645683545
3473,0.2072790294627383,0.33074753173544535,0.38792528352281125,1.05395426346,1.0527488437538337
3259,0.5478913922585789,0.6389280677018885,0.9112741827891633,1.0144644542799999,1.029303753010615
4293,0.5557481224727904,0.6488011283492932,0.8442294863248314,0.997116727148,1.0102395868871248
2638,0.9857885615251301,0.5779971791263441,0.9698465643765743,1.4953512646399998,1.5450379679261699
4349,0.3466204506065858,0.8039492242606544,0.3275517011338651,1.0108461281299999,1.0006181334269972
1067,0.21166955517019065,0.4880112834971622,0.965643762508661,1.02317096991,1.0053238616207367
10,0.253264009242981,0.5867418899881337,0.3922615076719121,1.0157867148100002,0.99885349411448
3620,0.7810514153691509,0.8533145275061401,0.491327551701298,1.0188272259,1.0406206050428342
4008,0.21166955517019065,0.33427362482416684,0.3979319546368906,1.02670202435,1.0477450051729793
3261,0.24020797227036395,0.30370239774372876,0.48782521681137025,1.06255693634,1.0319368055779878
3390,0.7879838243812826,0.866008462626045,0.5136757838557418,1.09499872359,1.047046129740318
2798,0.36811091854419414,0.8533145275061401,0.3205470313540095,0.9829450515629999,1.005555430610899
4259,0.25095320623916817,0.5811001410431327,0.362575050033143,1.0218062911399999,1.0074894569243789
3383,0.43974581166932414,0.48942172073552814,0.9116077384926323,1.05528064686,1.0183122430481277
2856,0.24841132293448875,0.5768688293364977,0.35590393595775716,1.03236229708,1.0104460092981569
2733,0.25095320623916817,0.5811001410431327,0.35923949299545005,1.01187555967,1.0083979459206538
1941,0.25025996533795497,0.5811001410431327,0.36724482988671364,0.986296124066,1.0065431246740109
2394,0.2507221259389948,0.5811001410431327,0.38258839226130176,1.0152453286,1.0023320544651222
1933,0.700635470828423,0.5472496473900526,0.6997998665776184,1.09988247199,1.094756598469183
615,0.36580011554038133,0.8490832157995052,0.33022014676461986,1.0190781118899999,1.0029324497636511
1258,0.20866551126516467,0.4837799717905272,0.9679786524349461,0.9980872400390001,1.0067215477384805
2826,0.2369150779896014,0.30983779971834957,0.48582388258855436,1.0387509025900001,1.0307519231387616
1932,0.38035817446585796,0.355712270804592,0.9879919946631048,1.04377483455,1.0678525828474001
3889,0.3493934142114385,0.8081805359672893,0.33188792528396666,0.995396114321,0.9992838086407624
1604,0.24956672443674177,0.5796897038089982,0.35723815877263426,1.03063134282,1.009565951011275
3250,0.25002888503778165,0.5768688293364977,0.3585723815875112,1.00228447112,1.0089768402408874
3472,0.9954939341421144,0.5822284908329791,0.9726484322885166,1.5342121061200003,1.5599188489837792
1478,0.3669555170419411,0.8519040902677741,0.33222148098743576,1.0113600314,1.002711653500293
622,0.24933564413656847,0.5796897038089982,0.3655770513673668,1.00962404443,1.0073964334277496
3041,0.2525707683417678,0.5811001410431327,0.3649099399604286,0.999878198758,1.0061375209918424
2778,0.24956672443674177,0.5768688293364977,0.36624416277530564,1.0379441489399999,1.0071010777954292
2393,0.24956672443674177,0.5796897038089982,0.38425617078064855,1.03099786249,1.002407451250083
2799,0.7926054303847487,0.8688293370943143,0.5090060040031719,1.01926545214,1.0493404270113136
1982,0.8942807625649914,0.5246826516227429,0.903602401601369,1.54605347498,1.40154098657014
3377,0.21698440207972272,0.31805359661554033,0.4006004002666447,1.05742532996,1.0502632876739595
1058,0.8915077989601388,0.5212976022574348,0.9644429619749716,1.55729947907,1.4335154608778293
2828,0.21236279607140382,0.4936530324421632,0.9639759839893143,0.9951704724629999,1.004241709603694
369,0.3856730213746968,0.36008462623464044,0.9853235490333508,1.0630230341700002,1.067155469380111
