,EXEC,L3HIT,L3MPI,MEM,L2MISS,FREQ,IPC,INST,L2MPI,PhysIPC%,L3MISS,INSTnom%,GT,Pred
3700,0.287433628318584,0.4482403433476395,0.35613054983828285,0.3806046672031268,0.009383551114527289,0.31940177849636214,0.6711153479504289,0.5296406090034825,0.013681686647374947,0.6717557251908397,0.25918160297598913,0.2871238938053097,1.0233033373126408,0.9991095670615744
3778,0.2848266961651917,0.40557939914163094,0.4232088601391747,0.42758937808943553,0.010245324109659238,0.31911883589329015,0.6657133778201461,0.5338604946222089,0.015068210004133942,0.6666666666666665,0.30526434449329265,0.2846976401179942,1.025318824743453,1.0189867663709682
2930,0.4097529498525073,0.36318550309966624,0.314417328236793,0.39063493888186385,0.010128747117601847,0.31831042845594176,0.9604385128693993,0.36987040486970085,0.010479536998759819,0.9616730279898221,0.32284973509187237,0.409882005899705,1.0220175405256828,1.0325564783717105
2107,0.636504424778761,0.5354315689079638,0.17504655493482307,0.35747403916158943,0.016854342813220607,0.5151576394502828,0.9238957737527802,0.38524388719522784,0.011207110376188507,0.9254134860050889,0.28023898094916017,0.6365044247787611,1.0783269365770545,1.0406679801929604
2892,0.28836283185840705,0.45224606580829757,0.34272272860923253,0.3391654213127946,0.009023059185242122,0.31915925626515756,0.6749285033365108,0.5271499069617094,0.013304671351798265,0.6753816793893129,0.2467365573216098,0.28898230088495575,1.0242926819708804,1.023976626150594
3865,0.6398598820058996,0.5078922269909394,0.16902871704400665,0.33899681955780364,0.015773763771457856,0.5179870654810024,0.9238957737527802,0.38478361970753944,0.010429929723026043,0.9255725190839694,0.2703190170217562,0.640117994100295,1.0447211682774753,1.0528714047298988
4187,0.433296460176991,0.9955650929899857,0.24782626958457593,0.2610217923242409,0.9335126825518832,0.8337567848481346,0.38792046847337586,0.9153422825920433,0.9067501328766316,0.38822246455834236,0.2703512246968452,0.4334070796460177,1.3240271954837788,1.2686278933989472
1121,0.41556047197640117,0.9942536957558415,0.2736450063706753,0.34151051845039654,0.8061747373815016,0.8063864187550525,0.3844137273593899,0.9253450836763772,0.8131459280694503,0.3848600508905853,0.286551685266599,0.4153023598820059,1.1167211731145752,1.1626670193469164
1919,0.41969026548672556,0.9917501192179304,0.3898853278447515,0.46094187071310877,0.8523571611580836,0.8152789005658851,0.3843342866221798,0.9255144321496578,0.8371227780074412,0.38470101781170485,0.420020290835306,0.4194321533923303,1.1597217754970592,1.18061890937902
1798,0.28405235988200583,0.40290891750119223,0.44810349897089086,0.44534620837644173,0.010783371765308736,0.3193209377526273,0.6625357483317443,0.535822671410078,0.015907399751963622,0.66412213740458,0.3223988276406267,0.2839233038348082,1.032421651458403,1.0263337790296496
3558,0.287433628318584,0.4446351931330472,0.3794178182887386,0.37676974364869525,0.009975403535741738,0.3206143896523848,0.6692087702573879,0.5314512782735539,0.014529971062422486,0.6696564885496183,0.27649644910382143,0.28743362831858404,1.0318643961819265,1.0241054087950845
2522,0.41334070796460176,0.41258941344778255,0.23334313437224344,0.3125048856190367,0.008221368178324367,0.31770412287793043,0.9694947569113441,0.3664180529318462,0.008403472509301362,0.9727099236641221,0.2415962123774095,0.4131858407079646,1.0286585371873818,1.0243821925060717
