,EXEC,PhysIPC%,L2MISS,MEM,L3MISS,GT,Pred
1840,0.3771230502599654,0.3518309859162023,0.6666666666654867,0.12033089201915494,0.42105263157894735,1.00014797101,1.0452971445835186
2615,0.6978625072235703,0.5419718309871605,0.020849557522123894,0.12280938967098592,0.4243943191306839,1.08638478626,1.0921582326558914
1163,0.6729058347778164,0.5236619718327427,0.03413569321532743,0.11833615023473801,0.40768588137056927,1.08759387671,1.0943128279773988
2435,0.2497978047369151,0.5760563380300733,0.015716814159292037,0.12821032863887324,0.4138918725384891,0.971850329655,1.00492425081437
72,0.2584402079722704,0.27177464788808947,0.04838230088495575,0.6963380281690141,0.7816684568564267,1.0348724253000001,1.051911107744716
3522,0.23760831889081457,0.31352112676144656,0.03853097345132743,0.6090140845070422,0.6902971715001791,1.02623442881,1.0471404002493565
3414,0.7879838243812826,0.8760563380334536,0.020200589970513272,0.12283568075079435,0.42821339061940566,1.03042594725,1.0435731023735744
3654,0.34916233391126517,0.8081690140865019,0.01480825958700885,0.11802816901408451,0.411504952857859,0.9882690606219999,0.9935046413682063
3640,0.2540034662045061,0.2824225352120632,0.049309734513274334,0.7107605633802817,0.818045112781955,1.0521217792,1.0510753225359155
3933,0.9691507798960141,0.5665352112692016,0.15582300884955752,0.0682145352112676,0.27689223057644113,1.6262065299000001,1.4840692094085735
1998,0.24702484113206244,0.5738028169030248,0.016566371681415927,0.1331605633802817,0.43107769423558895,0.995625675178,1.003507425719767
2537,0.4365106874641248,0.4845070422546042,0.09274336283185841,0.12128075117371268,0.41914309583530257,0.983166703759,1.013477418660914
183,0.379896013864818,0.35408450704325095,0.7929203539823009,0.11848262910760562,0.43155507817114214,1.02945033516,1.037175125328082
1851,0.6623916811091854,0.5146478873253933,0.059203539823008855,0.10102535211267605,0.3509488005728607,1.11917238759,1.1224375723203859
673,0.5569035239743501,0.6476056338043594,0.050501474926371685,0.12219718309859155,0.4234395512595775,0.981997768424,1.009329763525823
3647,0.24841132293448875,0.5760563380300733,0.016932153392318582,0.13633802816864224,0.4406253729566774,1.00912597147,1.00219388529995
914,0.24610051993067592,0.5676056338046974,0.018418879056035398,0.13262723004656898,0.4869316147511636,0.994154725243,0.9946023700508767
3644,0.3567879838246101,0.8273239436643024,0.015268436578159293,0.12305727699568454,0.426781238811314,1.00921923676,0.9901389569942947
1730,0.3426920854994801,0.7943661971853362,0.01511504424778761,0.11892206572807888,0.41627879221911923,0.9736337118780001,0.9931892433838928
3061,0.40346620450606596,0.6261971831003554,0.07622418879044247,0.13606760563343095,0.42630385487576083,1.0143454477,0.9927427033026501
111,0.6613518197573658,0.5135211267622916,0.027634218289097342,0.12271924882667044,0.42296216732259223,1.06551274051,1.0819533255478166
3527,0.9927209705372617,0.5798873239452955,0.13246017699115045,0.07584991549295775,0.2381668456856427,1.48302566503,1.5241767541958304
3791,0.2456383593296361,0.5684507042272351,0.016825958702053095,0.13855023474140843,0.4444444444439671,1.01675319535,1.0022507842157096
2319,0.9705372616984402,0.5687323943677992,0.1561061946902655,0.06985239436619718,0.27113498030791267,1.6794848062,1.488954818306966
1158,0.23847487001733103,0.30274647887409223,0.03742477876106195,0.612394366197183,0.6648764769065522,1.0383783679,1.050581778907195
4321,0.7833622183708838,0.8732394366193611,0.0224070796460177,0.11747981220653521,0.4052989616899392,1.00601343386,1.0544080546863572
317,0.2606585788561525,0.2661971830993414,0.0480353982300885,0.6877746478873239,0.8011457214464732,1.03163464405,1.0483375656249398
565,0.34592720970537266,0.8005633802836635,0.01576401179939823,0.12312225352075491,0.4339419978517723,1.01037689424,0.9894077924522169
2840,0.23847487001733103,0.3190140845079409,0.03792920353982301,0.6233802816901409,0.6845685642678124,1.0363513476000001,1.049577905869079
3935,0.4376660889656846,0.4845070422546042,0.07339233038336283,0.12473615023512115,0.42821339061940566,1.05644688723,1.0082696178483772
2424,0.2497978047369151,0.5774647887337394,0.015716814159292037,0.12813145539943666,0.4124597207303974,0.9889466838400001,1.0052198769558733
4284,0.3667244367417678,0.8447887323970277,0.015539823008849556,0.12327136150197184,0.4306003103000358,1.00631871436,0.9880070327095268
107,0.20912767186620454,0.48422535211404005,0.2623008849557522,0.12060732394329013,0.42153001551450053,1.00508608578,1.009648391314769
1573,0.6578856152513,0.5115492957758072,0.024023598820070796,0.12093145539868168,0.4167561761546724,1.1160117447600002,1.0818868933486874
3645,0.2458694396305026,0.569859154930901,0.0168023598820177,0.13714929577427604,0.4425349087003222,1.00737478281,1.0023648305648085
1000,0.5592143269788562,0.6507042253539457,0.030831858407079648,0.1204007511737127,0.41962047977085576,1.0275373853899998,1.005567876902431
1015,0.24725592143292893,0.5715492957759762,0.016731563421840706,0.13549671361464788,0.4377610693404941,1.00517108,1.0025961360204458
684,0.34800693240901215,0.8056338028188892,0.015091445427716815,0.12102985915530143,0.42153001551450053,0.980408831233,0.9917283969534817
78,0.7787406123604853,0.8594366197207309,0.02217109144541593,0.1233877934268507,0.4425349087003222,1.0385590811,1.036189319141969
1164,0.24841132293448875,0.5738028169030248,0.017734513274336283,0.1277483568075155,0.4444444444439671,0.994365223363,1.0003076860797793
567,0.9871750433275565,0.5776901408466977,0.160070796460177,0.07757385915492958,0.2456999641962048,1.53636998458,1.5269188316885833
1234,0.4295782784519931,0.47943661971937873,0.13132743362831859,0.12369953051605632,0.4339419978517723,1.06196007245,1.0146953074969032
3764,0.36302715193552865,0.8422535211294148,0.01583480825957522,0.1254873239440338,0.43871583721160046,1.01262855623,0.987174515272136
1243,0.6842287694974004,0.5318309859167094,0.03244837758113274,0.1230084507045972,0.4258264709387755,1.10128120919,1.0903434938134504
1010,0.20751010976291162,0.48028169014191624,0.2685545722715044,0.12093784037558311,0.4258264709387755,1.00453134698,1.0089015375268116
3915,0.6960138648180243,0.5411267605646228,0.02598230088495575,0.12400375586816899,0.4296455424274973,1.0697795153,1.0907483607141955
2622,0.24818024263431543,0.5738028169030248,0.016613569321522123,0.13518497652544226,0.4377610693404941,0.9878233959270001,1.002413162990674
1999,0.24818024263431543,0.27908450704303966,0.037522123893805305,0.5785915492957746,0.6655925528105979,1.04789175081,1.0446999248468796
1167,0.2246100519930676,0.38049295774755065,0.02131858407079646,0.45408450704225356,0.510562119584676,1.0157306924299998,1.0407517071461172
1734,0.20843443096499137,0.4819718309869914,0.240117994100177,0.11895849765295777,0.4177109440272109,0.9720147935179999,1.0105345339364773
1239,0.36533795493934146,0.8459154929601292,0.015398230088495574,0.1226779342719211,0.4291681584919441,1.02782398933,0.9887088994241886
996,0.3637203928367418,0.8433802816925166,0.015221238938053097,0.12039812206572395,0.41914309583530257,1.02059254458,0.9910373329535459
993,0.7879838243812826,0.8873239436644713,0.020979351032460174,0.12019906103286762,0.41914309583530257,1.06628826829,1.0455780139216742
2961,0.2486424032353553,0.571267605635412,0.01674336283185841,0.1389859154925859,0.4396706050841389,0.981352318921,1.0023899638238978
2982,0.26259965337954944,0.2663661971838489,0.04821238938053097,0.6866478873239437,0.8063014679556033,1.03268848535,1.0471357791618598
1853,0.25899480069324093,0.2749859154937323,0.0488424778761062,0.6938591549295774,0.8020050125313283,1.03718356801,1.0489703304015414
2419,0.24246100519930677,0.2976760563388667,0.03686725663716814,0.5985915492957746,0.644468313641246,1.04736970498,1.0498647346551848
2654,0.24679376083188911,0.5749295774661265,0.016424778761061947,0.13153427230009013,0.42821339061940566,1.0234091997399999,1.003852560364495
2641,0.20958983246655113,0.4853521126771418,0.25651917404141594,0.11683718309859153,0.4091180331786609,1.0025977417299998,1.0109797163417733
3532,0.3664933564415945,0.8507042253573258,0.015150442477876107,0.12149859154892392,0.41914309583530257,0.974392756105,0.9910382623284888
