,EXEC,PhysIPC%,L2MPI,L3MISS,L3MPI,L2MISS,IPC,MEM,L3HIT,INSTnom%,INST,FREQ,GT,Pred
3830,0.2852686308492201,0.2338732394372785,0.08073979591847036,0.8388829215896885,0.27074774034511095,0.055761061946902654,0.23441466854758025,0.7295774647887323,0.5766344229488248,0.2853675450762829,0.6646037844000325,0.7555182341650671,1.0249596575700002,1.0375312741138214
2010,0.2488734835355286,0.3044366197191674,0.053839285714354396,0.5660580021482278,0.20517666392769104,0.034176991150442475,0.30465444287772164,0.5749295774647888,0.4890760507006302,0.24895977808599168,0.5664375127445216,0.5619001919385797,1.0377531743600001,1.0395511596385894
2288,0.5538994800693242,0.644225352114209,0.05637755102035253,0.25969686120014324,0.04356066830994247,0.07115044247787611,0.645980253881024,0.07781558685442254,0.9109406270846935,0.5543226999542302,0.2281352641249729,0.5028790786948176,0.9717291213070001,1.0116125128817868
4309,0.437203928365338,0.4861971830996794,0.12487244897962357,0.25540040577586826,0.054231717337715694,0.12495575221238937,0.48660084626302763,0.07792300469487323,0.9496330887261342,0.4378178455852982,0.30147485158073567,0.5259117082533589,1.03539010964,1.0208157592357152
3236,0.2419410745233969,0.31985915493047845,0.061779336734772684,0.5868242033655567,0.22473294987674608,0.03721238938053097,0.31978138222894187,0.6022535211267607,0.5513675783857744,0.2420249653259362,0.5440340884758683,0.5249520153550864,1.00044654973,1.0446332749126421
3235,0.953206239168111,0.5573239436635418,0.09068877551031977,0.20443967060508414,0.020221857025472474,0.19460176991150444,0.5585331452758231,0.05527267605633803,0.9748999332891845,0.9538834951456312,0.26285751321884737,0.9980806142034548,1.49822409245,1.4925679593535688
1878,0.39029462738301557,0.3636619718317286,0.7410714285736495,0.27354099534550663,0.06551629690484799,0.6572271386442479,0.36445698166468893,0.08082854460090141,0.9906604402938596,0.390661118816921,0.40375458502134237,0.6276391554702495,1.0242051803299999,1.0408472017686468
554,0.2537261698440208,0.588450704226728,0.02200255102043623,0.3012292636348013,0.11120241029843878,0.012648967551610619,0.5895627644564028,0.10021784037558311,0.4122748499000709,0.2538141470180305,0.2490282515286001,0.2523992322456814,1.0039681709200001,0.9994458081755211
821,0.2671288272672444,0.284225352113195,0.07895408163262622,0.7218045112781954,0.2803615447822514,0.04745722713876107,0.284485190409287,0.6978403755864788,0.5873915943964603,0.2667591308363384,0.5803665980464776,0.6190019193857965,1.05103546504,1.037371474736623
2453,0.3528596187175044,0.8177464788758247,0.013992346938806115,0.28833989736197635,0.07614352232276088,0.011233038348070797,0.818053596614694,0.08566009389675493,0.36357571714455095,0.3527508090610264,0.1792125946465606,0.2523992322456814,1.0095488851,0.9934220851876248
3675,0.253264009242981,0.5873239436636262,0.021964285714313737,0.30361618331543144,0.1122980005479047,0.012613569321522125,0.5895627644564028,0.10178779342718873,0.40493662441674616,0.2533518261678225,0.2496407993858512,0.25175943697984643,0.983023810027,0.9995503843234913
1051,0.25511265164644714,0.5929577464808252,0.018979591836758906,0.2577873254564984,0.09476855655973707,0.010961651917415929,0.5923836389289032,0.08470985915492958,0.4156104069377638,0.2547387887198336,0.24728822203448556,0.2514395393474088,1.02915669245,0.9959260143053309
4372,0.2546504910454073,0.5887323943681372,0.02065051020412073,0.28547559374579307,0.10572445905242399,0.011823008849557521,0.5895627644564028,0.09687511737092958,0.4042695130088073,0.2542764678682386,0.24887594737660104,0.25271912987811895,0.9852487882459999,0.9973777743023569
2214,0.2541883304450607,0.5890140845087015,0.022551020408179277,0.30027449576369497,0.11185976444798684,0.012849557522123894,0.5909732016947686,0.0996507042253521,0.423949299533497,0.2542764678682386,0.2488517659684061,0.2523992322456814,0.979354805713,1.0001085370864504
3678,0.25534373194662047,0.5850704225365776,0.022053571428586806,0.30695787086716797,0.11218844152276088,0.0128023598820177,0.5867418899881337,0.10367699530512675,0.4089392928623779,0.25566343042024964,0.250515324111744,0.2549584133080614,0.9841510038529999,0.9981980475296981
1132,0.7764298093587523,0.8594366197207309,0.009770408163265014,0.27019930779377016,0.03259380991510271,0.017227138643079645,0.8575458392127752,0.08369502347421973,0.5540360240165291,0.7766990291262137,0.17100803996624386,0.5297504798464492,1.03068298939,1.025280141555033
4070,0.35447718082010404,0.822535211269641,0.013558673469392294,0.2859529776827784,0.07493837304847986,0.010949852507362832,0.8236953455596949,0.08701596244127323,0.3495663775848398,0.3546000924646325,0.17818529375703604,0.25175943697984643,1.02821457188,0.9933799361909863
2004,0.2595031773538995,0.5867605633816528,0.02315051020411116,0.29979711182670965,0.10835387565061627,0.013651917404141593,0.5867418899881337,0.10051079812206197,0.4546364242826734,0.2598243180762829,0.24952013864235859,0.25847728726775426,0.9866575412340001,0.9982557920120086
556,0.21536683997712305,0.4980281690152057,0.432397959184225,0.28977204917006805,0.1267597918379622,0.21109144542761063,0.4992947813829327,0.08741032863845634,0.9669779853235381,0.2154415164119279,0.294126023825049,0.25271912987811895,1.00169905281,1.0021827529750214
2172,0.25534373194662047,0.5890140845087015,0.021938775510219315,0.30170664757178656,0.11196932347313066,0.012519174041309734,0.5909732016947686,0.0999887323943324,0.4052701801202153,0.25566343042024964,0.24879530359065669,0.25367882277639153,1.0070631059200001,0.9981209287042887
3672,0.9677642980935875,0.567042253522724,0.09497448979603951,0.17162907268170424,0.016558751027115858,0.2088495575221239,0.5669957686890932,0.058902309859154935,0.9804536357574986,0.969486823855756,0.2583986734719037,0.9980806142034548,1.48665733294,1.5225435720466254
