,EXEC,IPC,L3HIT,INSTnom%,PhysIPC%,FREQ,L3MPI,L3MISS,INST,MEM,GT,Pred
59,0.40153403643336527,0.7831070889882353,0.9781835884824438,0.40187178010976776,0.7833777256897199,0.5008820935018374,0.31723477527511845,0.32040780055908447,0.9913743449560352,0.28746798944427887,1.0245972135899999,1.0322209735735124
70,0.7509108341323107,0.9784313725490197,0.9633702135411307,0.7518710420264825,0.9791089566011274,0.7506248162301894,0.06134993147561566,0.11851370510403199,0.7936126254614542,0.07848729351979476,1.02070413863,1.0328781498837427
58,0.2666757978362416,0.8913165266117647,0.9989300186679414,0.2669627436469008,0.8910928637397127,0.2926187675889624,0.2858268615807545,0.19234535811803843,0.8711382591040838,0.12044109638800564,1.0335142923,1.0611135659103272
50,0.4013275315290508,0.7826546003019609,0.9852339073759478,0.40169464003684513,0.7831664180686212,0.5008820935018374,0.2075991847349544,0.2149435315787203,0.9918072999812125,0.2023973707360894,1.0271444595700001,1.0325974143799024
64,0.3996164908916587,0.7784313725490197,0.963119792378266,0.40030704279408935,0.7793628808857069,0.5012128785649068,0.6771356783925785,0.6891934467552453,0.9962163154453526,0.7846569250327632,1.01879692028,1.0243032831206504
62,0.40038350910834136,0.7805429864235294,0.9860429603639733,0.4006317995962387,0.7806005398104057,0.5012496324603788,0.21888990406598346,0.22117808152799892,0.9950147554191042,0.17269597302343417,1.0367557864,1.0333374593026436
76,0.40153403643336527,0.7833333333333334,0.9616172654010767,0.40145845327192475,0.7825023084018629,0.5012128785649068,0.6379625399731731,0.6524364629282988,0.9917242996656223,0.9925667090228623,1.0326012185299998,1.0181344069381808
74,0.2644295302013423,0.9098039215686274,0.9976779128536171,0.2648244099021301,0.9104339796852166,0.28381358423980424,0.40060529922375565,0.2647421760135816,0.8528342155573869,0.15817344345636358,1.0624823369299998,1.0642956809022495
68,0.40153403643336527,0.7862745098039216,0.9808996949416712,0.4018422567645365,0.7868190212365772,0.4988238753305651,0.30850845134792915,0.3173046628861149,0.9878330084430074,0.25521601016550854,1.02433408706,1.033415093331485
61,0.40209454974573344,0.7826546003019609,0.9740227445464599,0.4025212937125311,0.7829852972502004,0.5022787415469705,0.40347717609036404,0.4120599260021067,0.991961405565622,0.48873130681401356,1.02138971314,1.027972045238806
