,EXEC,FREQ,L3MPI,L3HIT,INSTnom%,INST,PhysIPC%,IPC,L3MISS,L2MISS,MEM,L2MPI,GT,Pred
77,0.5146692233940555,0.549470743898611,0.17108268615821934,0.996175385876428,0.5146804835924006,0.847387573074006,0.9163204062780089,0.9147058823529413,0.22283921445086266,0.42602739726027394,0.15952350698876683,0.21009730283369574,1.03682010221,1.0449547049213224
61,0.40209454974573344,0.5022787415469705,0.40347717609036404,0.9740227445464599,0.4025212937125311,0.991961405565622,0.7829852972502004,0.7826546003019609,0.4120599260021067,0.11405690200219179,0.48873130681401356,0.07198440003143187,1.02138971314,1.0258922089604374
75,0.9913710450623202,0.9986033519548668,0.0603106441297947,0.9425852570233471,0.9921320284014584,0.8015160240760074,0.9692982456131402,0.969607843137255,0.1513744486453221,0.019315068493150685,0.08743929479045418,0.0049432400136556936,1.02646714089,1.0229841463770672
141,0.4001917545541707,0.5012128785649068,0.488305162174955,0.9697559531941848,0.40049894454039525,0.9948092302540456,0.7805401662042655,0.7808823529411765,0.4986084856125282,0.11671232876712329,0.5589263024149413,0.0739565551382598,1.03498798333,1.0269421836310626
66,0.2809204218600192,0.29480299911777647,0.37070580173629114,0.9969266493650225,0.2817117635770486,0.8324925674477809,0.9320175438587885,0.9323529411764706,0.26290432682223425,0.45958904109589044,0.15936149936487845,0.4132809832706702,1.1004346598299999,1.0597699384885804
65,0.26251198465963566,0.2866803881210144,0.7067153951582519,0.9931703319220496,0.2629053924390712,0.8669637376919157,0.8966989843020345,0.8950980392156864,0.46203528670471644,0.6773972602739726,0.16449174078801077,0.6556418572890651,1.0745250765,1.082809256259486
63,0.7508518327309684,0.7506615701256613,0.03943019292274045,0.9710176905920814,0.7516053319163309,0.7938095134579967,0.977448682430307,0.9782805429882355,0.07475380899295041,0.017040042149643834,0.039552790538554705,0.005800942826378319,1.02330952301,1.0241146110528125
72,0.401150527325024,0.5021684798586435,0.56041571493884,0.9626189500525362,0.40145845327192475,0.9942224043993017,0.7805401662042655,0.7813725490196078,0.5752467968917114,0.11157534246575343,0.46069567979728165,0.07025008535335092,1.0216098942,1.0299971792253886
58,0.2666757978362416,0.2926187675889624,0.2858268615807545,0.9989300186679414,0.2669627436469008,0.8711382591040838,0.8910928637397127,0.8913165266117647,0.19234535811803843,0.6870841487287671,0.12044109638800564,0.6567941276885187,1.0335142923,1.073670431745048
142,0.400287631831256,0.5007350779180385,0.33233211512136346,0.9803988526159415,0.4006908462867012,0.9937814242615609,0.7819136657425836,0.7808823529411765,0.34271292795649166,0.10832191780821918,0.23856162642978213,0.06798395356775895,1.03271710599,1.0277808189605961
54,0.40312707426807287,0.5030138194640534,0.5963910461403347,0.9624648447213884,0.4033479473897524,0.991673641998673,0.7831362312659436,0.7834087481137256,0.619637923513768,0.11811380400410959,0.8181800410522466,0.0733434881950199,1.02459844314,1.0255693344836139
18,0.4012685301277086,0.5020582181703167,0.2820219981026332,0.9836543277331847,0.4015174999623872,0.9941800801603955,0.7816570779166836,0.7809954751137257,0.2870437690854794,0.11660695468904109,0.2552409344154704,0.07398166872381802,1.0190541786,1.0267499103426867
27,0.9994837377411313,1.0,0.05077133921352286,0.9402736770581324,0.999896668290923,0.7950830540354158,0.977448682430307,0.9761689291098039,0.13061170083844287,0.014056902002109588,0.06079572866785996,0.0035206292512558,1.01894396817,1.023160369781077
60,0.40168153993633743,0.501764187002719,0.32224057349641133,0.9777212724900018,0.40181273341930523,0.9927335472004544,0.782140066765021,0.781598793364706,0.3336261774354829,0.10374077976821917,0.2877338481089552,0.06455077868530819,1.0223288964100001,1.026485712601165
134,0.2667518909131352,0.28285798294606757,0.41571493832838347,0.9965649299076623,0.26712723085780077,0.8430593181369407,0.9217708012678469,0.9211328976039218,0.2775969100796459,0.5607305936082191,0.1788324156433403,0.5382383065886754,1.09316850952,1.068226213891286
20,0.39855446566826463,0.5010291090856361,0.34819200899757713,0.9816509584302658,0.39891944555133374,0.9989144734041752,0.7781554087644708,0.7770739064862746,0.35023750666485515,0.1253530031610959,0.26539341217892676,0.08041074664500161,1.0236998181,1.0286053460287696
26,0.3998524964970278,0.49985298441524556,0.27023930843053473,0.9818821164269875,0.39986419261101513,0.9945279484972136,0.7811137154622058,0.7803921568627451,0.2739809025256112,0.10373024236027396,0.29242791516013017,0.0659571394805623,1.0258697088200002,1.0251373660977872
67,0.39942473633748804,0.5002572772711701,0.4354613978989817,0.977644219824428,0.39992323930147766,0.9945202520187818,0.7807363804240252,0.7803921568627451,0.4443919344677822,0.13657534246575342,0.5072998729358414,0.08634346193238539,1.01921647894,1.0275813894150176
132,0.4030680728667306,0.5019295795352094,0.6091822750119773,0.9619928971453741,0.40318556898867774,0.9896372399001612,0.7837777008303012,0.7838235294117648,0.6221119512710681,0.11671232876712329,0.8697109275741672,0.0736300785250813,1.02970212551,1.0250411686853977
78,0.3975071907957814,0.4993016759774334,0.2995545911377794,0.9798980102902117,0.3976204183458069,0.9991059811065787,0.7774007386881094,0.7764705882352941,0.30048834278528697,0.09972602739726028,0.24468551461276322,0.06387418914304133,1.0124436185299999,1.0262814805166585
