,EXEC,L2MPI,FREQ,INSTnom%,L3HIT,L3MPI,IPC,PhysIPC%,INST,L3MISS,MEM,L2MISS,GT,Pred
17,0.40056051331236814,0.07204349082120654,0.5008820935018374,0.40092703305162153,0.9836543277331847,0.26411427768233353,0.7809954751137257,0.7808722210376446,0.9941978226614092,0.26736464543676086,0.24495220408580043,0.11272918861972601,1.0190918210200002,1.0223332357279775
22,0.4029795707651007,0.0776334795283582,0.503381358424506,0.4030527139328344,0.9657781093380624,0.5558280915057614,0.7831070889882353,0.7828645500387047,0.9922665802528429,0.5661989239479973,0.6262134688697029,0.12288724973643837,1.01979576645,1.0206150095960798
24,0.5133711925660595,0.2796176169340594,0.562040576300987,0.5137062131874879,0.9989107555017983,0.1262518888149166,0.8926093514313727,0.8947368421044369,0.8685901735399651,0.1668201573683926,0.11765907535950146,0.571338250789041,1.02569011194,1.053130750786783
25,0.2674702095601151,0.6303467785205478,0.2926870248247754,0.2676755215613126,0.997964108468606,0.39629968022101075,0.8929971988784315,0.8941762300513442,0.8687281089409025,0.2674858223062736,0.11888273733902018,0.6643835616438356,1.0951788781799998,1.0598285419290732
29,0.7519728593557047,0.008068256427765779,0.7505145545418624,0.7527272190489349,0.979647589127347,0.03375900481423825,0.9797888386117648,0.9822785709215307,0.7920023696166772,0.06411266217504942,0.03979405727685107,0.024069546891452055,1.02140144984,1.0202013488733237
