,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
110,1.05,0.6724888888889999,0.295488888889,0.43959929287077076,0.336288888889,2.27622222222,2.05617777778,0.000181682222222,0.997644444444,0.0036256222222199996,3.20075555556e-07,1.1377777777799998,0.00525622222222,1.09964488839,1.0616430332385982
112,1.05,0.525,0.263529411765,0.5019299880213967,0.26247058823499997,1.99176470588,0.462176470588,5.22529411765e-05,0.952882352941,0.0213235294118,2.40941176471e-06,0.996,0.046294117647000005,1.02291295176,1.0251473634165507
143,1.05,0.33533333333299997,0.159111111111,0.47454295262412993,0.16777777777800001,2.10666666667,3.65,0.0006508888888890001,0.9963333333329999,0.00802222222222,1.42211111111e-06,1.05555555556,0.00700111111111,1.11404799805,1.0897766278884697
7,1.05,0.659078947368,0.285763157895,0.4334750767784394,0.329526315789,2.30868421053,2.5223315789500003,0.000227998157895,0.9941315789470001,0.00844068421053,7.66457894737e-07,1.1542105263200002,0.00762313157894,1.1344712027200001,1.0713512764224553
44,1.04954545455,0.368,0.15877272727299999,0.4318548979289176,0.18390909090899998,2.31863636364,2.0245,0.000327036363636,0.995727272727,0.00633818181818,1.03645454545e-06,1.15909090909,0.0060959090909,1.08926987894,1.0588330791377054
101,1.05022222222,0.369844444444,0.160666666667,0.4345108404463446,0.184977777778,2.3040000000000003,2.14986666667,0.000346666666667,0.9970222222220001,0.00501373333333,8.087555555560001e-07,1.15155555556,0.00532622222222,1.0695971299200002,1.0612726518617064
122,1.05,0.661210526316,0.28284210526299997,0.4280037842943519,0.330526315789,2.33684210526,2.52368421053,0.000226736842105,0.997947368421,0.00379789473684,3.41457894737e-07,1.1684210526299998,0.00517,1.06404929512,1.0716610011348195
66,1.05,0.36625,0.15425,0.420545746388443,0.18350000000000002,2.3775,1.6775,0.000269,0.99525,0.007152500000000001,1.15925e-06,1.1875,0.0073774999999999995,1.1004346598299999,1.0522812790452416
85,1.05,0.523475,0.262,0.5006530751320347,0.26175,1.99775,0.368325,4.18425e-05,0.9868,0.004862399999999999,5.52275e-07,0.9983,0.00672475,1.0273625346600002,1.0233010684175377
86,1.05,0.525666666667,0.262923076923,0.5003820358268528,0.262846153846,1.9982051282099997,0.448384615385,4.94871794872e-05,0.967948717949,0.014048717948700001,1.55102564103e-06,0.998948717949,0.0316797435898,1.0253656220899998,1.0249439526271749
133,1.05,0.520625,0.261625,0.502620767814138,0.26025,1.98875,0.409625,4.64375e-05,0.980125,0.00804,9.079999999999999e-07,0.9952500000000001,0.011284125,1.02689108122,1.0240354538860006
92,1.05,0.524675,0.26245,0.5004103347765798,0.262375,1.9985,0.345325,3.907e-05,0.974025,0.009134,1.03285e-06,0.999325,0.013943500000000001,1.02257919237,1.022839413358284
26,1.05,0.521307692308,0.261538461538,0.502400279304791,0.260461538462,1.99,0.37861538461499994,4.29307692308e-05,0.9802307692309999,0.0074538461538500005,8.450769230770001e-07,0.995230769231,0.013537692307690002,1.0258697088200002,1.0234161186696917
146,1.05,0.523967741935,0.262322580645,0.5011532969650899,0.261935483871,1.9970967741900003,0.360290322581,4.08935483871e-05,0.976290322581,0.00919580645161,1.04625806452e-06,0.9979032258059999,0.01354,1.0279202795,1.0231245791657024
119,1.05058823529,0.368411764706,0.159588235294,0.43326469487094404,0.184176470588,2.3094117647099996,2.07,0.00032958823529400007,0.9962941176469999,0.00592,9.49117647059e-07,1.15529411765,0.00576294117647,1.0342303410200002,1.0596828854981963
62,1.05,0.522,0.262269230769,0.5026461969121292,0.260961538462,1.9903846153799998,0.369230769231,4.19769230769e-05,0.984384615385,0.00601730769231,6.845000000000001e-07,0.994576923077,0.00799480769231,1.0367557864,1.0232354925252007
