ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INST-1,INSTnom-1,INSTnom%-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC-1,PhysIPC%-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INST-2,INSTnom-2,INSTnom%-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC-2,PhysIPC%-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INST-C,INSTnom-C,INSTnom%-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC-C,PhysIPC%-C,READ-C,TIME(ticks)-C,WRITE-C
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,8019.0,0.7508,0.8665,0.4763,14590.0,1.734,43.32,1.82,0.7156,17.31,0.0011867000000000002,0.9974,0.0441,3.0115e-06,3.6430000000000002,91.04,0.3058,2103.0,0.01963,10031.4285714,0.7581428571430001,0.830285714286,0.583428571429,14271.428571399998,1.66,41.5142857143,1.4242857142899998,0.757428571429,20.4857142857,0.00142428571429,0.9504285714290001,1.16842857143,7.97e-05,2.8471428571399997,71.1571428571,1.8601428571400003,2148.57142857,1.32442857143
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,9650.0,0.7577,0.753,0.5736,12680.0,1.505,37.64,1.3130000000000002,0.1939,61.95,0.004912,0.9988,0.059210000000000006,4.6443e-06,2.628,65.68,0.3149,2102.0,0.02414,11328.5714286,0.76,0.7154285714290001,0.674714285714,12014.285714299998,1.43,35.7428571429,1.06085714286,0.28314285714299997,68.1,0.005679999999999999,0.9844285714290001,1.00171428571,8.22714285714e-05,2.12,53.028571428599996,1.839,2100.0,1.32685714286
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,5886.0,0.76,0.5497,0.3487,9277.0,1.099,27.49,1.578,0.8033,13.44,0.00145,0.9967,0.03368,3.638e-06,3.154,78.89,0.3001,2108.0,0.015271000000000002,7627.14285714,0.7578571428569999,0.618142857143,0.446,10597.142857100001,1.23571428571,30.9,1.39,0.8544285714290001,8.702857142860001,0.000811,0.865714285714,1.20157142857,0.00011504285714299998,2.78,69.5142857143,1.9191428571400002,2138.57142857,1.3544285714300002
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,11038.0,0.7542,0.8519,0.6555,14360.0,1.703,42.6,1.2990000000000002,0.11406,51.35,0.0036030000000000003,0.9996,0.025673,1.7776e-06,2.602,65.01,0.2936,2107.0,0.007134899999999999,12690.0,0.7595,0.8738,0.7534,14720.0,1.7469999999999999,43.67,1.16,0.1917,101.4,0.006913,0.9873,1.3044,8.725299999999999e-05,2.32,58.01,1.4127,2112.0,0.9583
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,9542.0,0.7575,0.9990000000000001,0.5667,16790.0,1.995,49.88,1.761,0.6953,15.88,0.0009443999999999999,0.9982,0.031289,1.8789e-06,3.5210000000000004,88.04,0.2982,2105.0,0.010362,11212.5,0.759875,0.899375,0.666875,15100.0,1.79875,44.975,1.34875,0.742125,16.325,0.0010815,0.9455,0.922,6.0825e-05,2.7,67.4625,1.714125,2100.0,1.19325
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,12350.0,0.76,0.8923,0.7311,15080.0,1.785,44.6,1.22,0.9171,4.169,0.00027539999999999997,0.9827,0.034483,2.3009e-06,2.44,61.01,0.3017,2111.0,0.015331000000000001,12725.0,0.75975,0.9695,0.756875,16325.0,1.9375,48.4625,1.2825,0.902375,5.8,0.000354625,0.872,0.7372375,4.488375e-05,2.56,64.05,1.59175,2101.25,1.1325
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,5841.11111111,0.7552222222220001,0.529555555556,0.344777777778,8972.22222222,1.05933333333,26.4888888889,1.54,0.83,12.988888888900002,0.00144444444444,0.9964444444439999,0.0351011111111,3.906222222219999e-06,3.07888888889,76.98888888890001,0.302111111111,2115.55555556,0.015543333333299998,7520.0,0.76,0.6005,0.445333333333,10155.0,1.2016666666700002,30.05,1.35333333333,0.807,11.5366666667,0.001158,0.8903333333329999,1.2978333333299998,0.00013046666666700001,2.7033333333300003,67.55,1.95,2108.33333333,1.47333333333
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,11220.0,0.76,0.9262,0.6657,15610.0,1.851,46.31,1.392,0.9418,3.2433,0.000212547,0.8977,0.026701999999999997,1.7019e-06,2.785,69.59,0.2969,2109.0,0.007867,12725.0,0.76,0.9390000000000001,0.7555,15837.5,1.8775,46.95,1.24125,0.88475,4.863375,0.0003076375,0.728875,0.691,4.323e-05,2.48625,62.125,1.596625,2105.0,1.136875
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,11127.0,0.752,0.8411,0.6599,14180.0,1.682,42.06,1.273,0.6583,19.04,0.00135,0.997,0.037558,2.6602999999999998e-06,2.55,63.75,0.3024,2106.0,0.015967,12737.5,0.76,0.827375,0.75525,13975.0,1.655,41.375,1.09625,0.628,32.9125,0.00236,0.970125,0.811625,5.85e-05,2.19,54.7875,1.64075,2107.5,1.147625
1853.33333333,0.726333333333,0.116583333333,0.110283333333,1960.66666667,0.233333333333,5.835,1.0798333333299999,0.648166666667,3.27066666667,0.0017995,0.667666666667,1.2381666666700002,0.000656,2.15833333333,53.9666666667,1.93,2100.0,1.48,12640.0,0.7589,0.9065,0.7537,15230.0,1.814,45.33,1.203,0.8255,9.633,0.0006315,0.9937,0.025918,1.7156e-06,2.406,60.14,0.2959,2100.0,0.007954000000000001,12712.5,0.76,0.935875,0.756875,15725.0,1.8725,46.775,1.23625,0.865,8.30125,0.000525375,0.813125,0.7809999999999999,4.898e-05,2.4725,61.8125,1.624875,2100.0,1.146
