num,app,alongwith,budget,ind_exec,exec,config,slowdown_p,slowdown_gt,success_p,success_gt,raw_qos,qos
2,swaptions,swaptions/ferret,32.90825843811035,21.938838958740234,22.52560830116272,num-1000000,1.3676522114336378,1.0267456880250594,True,True,99.99999999999432,1.0
2,ferret,swaptions/ferret,2.9160118103027344,1.8949692249298096,1.9181313514709473,hash-8-itr-14-probe-16,1.029162651877938,1.0122229565717595,True,True,100.0,1.0
2,bodytrack,swaptions/bodytrack,13.13671624660492,8.757810831069946,8.902793884277344,layer-5-particle-4000,0.9899471431864919,1.0165547139580868,True,True,5.0,1.0
2,swaptions,swaptions/bodytrack,32.90825843811035,21.938838958740234,22.449885606765747,num-1000000,1.0618756337940967,1.0232941519369654,True,True,99.99999999999432,1.0
2,swaptions,swaptions/nn,32.90825843811035,21.938838958740234,25.7258198261261,num-1000000,1.0990674296931524,1.1726153728785709,True,True,99.99999999999432,1.0
2,nn,swaptions/nn,31.53475034236908,14.150341987609863,14.844011783599854,batch-3-learning-1-regular-67,1.0571055671640328,1.0490214156376836,True,True,19.5,0.5084745762711864
2,swaptions,swaptions/facedetect,32.90825843811035,21.938838958740234,22.529919862747192,num-1000000,1.0325035461785617,1.0269422144498435,True,True,99.99999999999432,1.0
2,facedetect,swaptions/facedetect,148.21275079250336,21.4960834980011,21.766928911209106,eyes-0-pyramid-9-selectivity-1,1.032131588213593,1.012599756287381,True,True,92.7307139386279,1.0
2,bodytrack,ferret/bodytrack,13.13671624660492,8.757810831069946,8.954262018203735,layer-5-particle-4000,1.1805945294640954,1.0224315403613016,True,True,5.0,1.0
2,ferret,ferret/bodytrack,2.9160118103027344,1.8949692249298096,1.9289131164550781,hash-8-itr-14-probe-16,1.0242292879297517,1.0179126347165484,True,True,100.0,1.0
2,ferret,ferret/nn,2.9160118103027344,1.8949692249298096,2.038447141647339,hash-8-itr-14-probe-16,1.0988329506289396,1.0757151698454859,True,True,100.0,1.0
