num,app,alongwith,budget,ind_exec,exec,config,slowdown_p,slowdown_gt,success_p,success_gt,raw_qos,qos
2,swaptions,swaptions/ferret,32.90825843811035,21.938838958740234,22.516386032104492,num-1000000,1.0,1.0263253253488225,True,True,99.99999999999432,1.0
2,ferret,swaptions/ferret,2.9160118103027344,1.8949692249298096,1.9216179847717285,hash-8-itr-14-probe-16,1.0,1.014062898484753,True,True,100.0,1.0
2,bodytrack,swaptions/bodytrack,13.13671624660492,8.757810831069946,8.893173456192017,layer-5-particle-4000,1.0,1.0154562170539065,True,True,5.0,1.0
2,swaptions,swaptions/bodytrack,32.90825843811035,21.938838958740234,22.400104522705078,num-1000000,1.0,1.0210250672258607,True,True,99.99999999999432,1.0
2,swaptions,swaptions/nn,32.90825843811035,21.938838958740234,26.099886417388916,num-1000000,1.0,1.1896658007506344,True,True,99.99999999999432,1.0
2,nn,swaptions/nn,31.53475034236908,14.150341987609863,15.022937536239624,batch-3-learning-1-regular-67,1.0,1.0616660395482889,True,True,21.6,0.6864406779661018
2,swaptions,swaptions/facedetect,32.90825843811035,21.938838958740234,22.36266016960144,num-1000000,1.0,1.0193183062995392,True,True,99.99999999999432,1.0
2,facedetect,swaptions/facedetect,148.21275079250336,21.4960834980011,21.77177858352661,eyes-0-pyramid-9-selectivity-1,1.0,1.0128253635389513,True,True,92.7307139386279,1.0
2,bodytrack,ferret/bodytrack,13.13671624660492,8.757810831069946,8.972533941268921,layer-5-particle-4000,1.0,1.0245178977190514,True,True,5.0,1.0
2,ferret,ferret/bodytrack,2.9160118103027344,1.8949692249298096,1.9345898628234863,hash-8-itr-14-probe-16,1.0,1.0209083278886202,True,True,100.0,1.0
2,ferret,ferret/nn,2.9160118103027344,1.8949692249298096,2.046856164932251,hash-8-itr-14-probe-16,1.0,1.0801527212179751,True,True,100.0,1.0
2,nn,ferret/nn,31.53475034236908,14.150341987609863,15.277119398117065,batch-3-learning-1-regular-67,1.0,1.0796289878713756,True,True,22.2,0.7372881355932203
2,facedetect,ferret/facedetect,148.21275079250336,21.4960834980011,21.918442964553833,eyes-0-pyramid-9-selectivity-1,1.0,1.0196482055250673,True,True,92.7307139386279,1.0
