num,app,alongwith,budget,ind_exec,exec,config,slowdown_p,slowdown_gt,success_p,success_gt,raw_qos,qos
3,nn,swaptions/nn/facedetect,21.02316689491272,12.970833778381348,13.600585460662842,batch-1-learning-12-regular-12,3.0,1.0485513647805054,False,True,0.0,0.0
3,bodytrack,ferret/bodytrack/nn,8.757810831069946,2.857672691345215,3.2442009449005127,layer-3-particle-1833,3.0,1.1352598058993748,True,True,3.553656390542353,0.6845800113356241
3,ferret,ferret/bodytrack/nn,1.9440078735351562,1.3722498416900635,1.4633793830871582,hash-2-itr-12-probe-2,3.0,1.066408855463856,False,True,0.0,0.0
3,nn,ferret/bodytrack/nn,21.02316689491272,12.970833778381348,13.669499635696411,batch-1-learning-12-regular-12,3.0,1.0538643752015031,False,True,0.0,0.0
3,bodytrack,ferret/bodytrack/facedetect,8.757810831069946,2.857672691345215,2.9204161167144775,layer-3-particle-1833,3.0,1.0219561272917252,True,True,3.553656390542353,0.6845800113356241
3,facedetect,ferret/bodytrack/facedetect,98.80850052833557,21.4960834980011,21.846760988235474,eyes-0-pyramid-9-selectivity-1,3.0,1.01631355266493,True,True,92.7307139386279,1.0
3,ferret,ferret/bodytrack/facedetect,1.9440078735351562,1.3722498416900635,1.410459041595459,hash-2-itr-12-probe-2,3.0,1.0278442006291924,False,True,0.0,0.0
3,facedetect,ferret/nn/facedetect,98.80850052833557,21.4960834980011,23.668564319610596,eyes-0-pyramid-9-selectivity-1,3.0,1.101064029724834,True,True,92.7307139386279,1.0
3,ferret,ferret/nn/facedetect,1.9440078735351562,1.3722498416900635,1.4572863578796387,hash-2-itr-12-probe-2,3.0,1.0619686835487947,False,True,0.0,0.0
3,nn,ferret/nn/facedetect,21.02316689491272,12.970833778381348,13.726963520050049,batch-1-learning-12-regular-12,3.0,1.058294613483441,False,True,0.0,0.0
3,bodytrack,bodytrack/nn/facedetect,8.757810831069946,2.857672691345215,3.4083640575408936,layer-3-particle-1833,3.0,1.1927062423431172,True,True,3.553656390542353,0.6845800113356241
3,facedetect,bodytrack/nn/facedetect,98.80850052833557,21.4960834980011,23.85205578804016,eyes-0-pyramid-9-selectivity-1,3.0,1.109600071578534,True,True,92.7307139386279,1.0
3,nn,bodytrack/nn/facedetect,21.02316689491272,12.970833778381348,14.019479513168335,batch-1-learning-12-regular-12,3.0,1.0808464399979265,False,True,0.0,0.0
4,bodytrack,swaptions/ferret/bodytrack/nn,8.757810831069946,0.8427028656005859,0.9527628421783447,layer-5-particle-100,4.0,1.130603539005792,True,True,3.3632135538891106,0.6430480565597446
4,swaptions,swaptions/ferret/bodytrack/nn,21.938838958740234,4.418626070022583,4.9408345222473145,num-200000,4.0,1.1181834452495463,True,True,89.56865391765234,0.2715743168854812
4,ferret,swaptions/ferret/bodytrack/nn,1.9440078735351562,1.3722498416900635,1.4980239868164062,hash-2-itr-12-probe-2,4.0,1.091655426953039,False,True,0.0,0.0
4,nn,swaptions/ferret/bodytrack/nn,21.02316689491272,12.970833778381348,14.71516752243042,batch-1-learning-12-regular-12,4.0,1.1344812348884137,False,True,0.0,0.0
4,bodytrack,swaptions/ferret/bodytrack/facedetect,8.757810831069946,0.8427028656005859,0.8817198276519775,layer-5-particle-100,4.0,1.0462997856588332,True,True,3.3632135538891106,0.6430480565597446
4,swaptions,swaptions/ferret/bodytrack/facedetect,21.938838958740234,4.418626070022583,4.5931479930877686,num-200000,4.0,1.039496875340776,True,True,89.56865391765234,0.2715743168854812
4,facedetect,swaptions/ferret/bodytrack/facedetect,98.80850052833557,21.4960834980011,22.09663677215576,eyes-0-pyramid-9-selectivity-1,4.0,1.027937799655947,True,True,92.7307139386279,1.0
4,ferret,swaptions/ferret/bodytrack/facedetect,1.9440078735351562,1.3722498416900635,1.4178409576416016,hash-2-itr-12-probe-2,4.0,1.0332236263152985,False,True,0.0,0.0
4,swaptions,swaptions/ferret/nn/facedetect,21.938838958740234,4.418626070022583,4.9529054164886475,num-200000,4.0,1.1209152659671275,True,True,89.56865391765234,0.2715743168854812
4,facedetect,swaptions/ferret/nn/facedetect,98.80850052833557,21.4960834980011,24.630414724349976,eyes-0-pyramid-9-selectivity-1,4.0,1.14580940879953,True,True,92.7307139386279,1.0
4,ferret,swaptions/ferret/nn/facedetect,1.9440078735351562,1.3722498416900635,1.4725697040557861,hash-2-itr-12-probe-2,4.0,1.0731061205605013,False,True,0.0,0.0
4,nn,swaptions/ferret/nn/facedetect,21.02316689491272,12.970833778381348,14.280868768692017,batch-1-learning-12-regular-12,4.0,1.1009985181133166,False,True,0.0,0.0
4,bodytrack,swaptions/bodytrack/nn/facedetect,8.757810831069946,0.8427028656005859,0.9235334396362305,layer-5-particle-100,4.0,1.0959182380114934,True,True,3.3632135538891106,0.6430480565597446
4,swaptions,swaptions/bodytrack/nn/facedetect,21.938838958740234,4.418626070022583,4.900427341461182,num-200000,4.0,1.1090387065579723,True,True,89.56865391765234,0.2715743168854812
4,facedetect,swaptions/bodytrack/nn/facedetect,98.80850052833557,21.4960834980011,24.07200789451599,eyes-0-pyramid-9-selectivity-1,4.0,1.1198322660383426,True,True,92.7307139386279,1.0
4,nn,swaptions/bodytrack/nn/facedetect,21.02316689491272,12.970833778381348,14.323261976242065,batch-1-learning-12-regular-12,4.0,1.1042668668004079,False,True,0.0,0.0
4,bodytrack,ferret/bodytrack/nn/facedetect,8.757810831069946,0.8427028656005859,0.9381074905395508,layer-5-particle-100,4.0,1.113212650429248,True,True,3.3632135538891106,0.6430480565597446
4,facedetect,ferret/bodytrack/nn/facedetect,98.80850052833557,21.4960834980011,24.42224645614624,eyes-0-pyramid-9-selectivity-1,4.0,1.136125399699775,True,True,92.7307139386279,1.0
4,ferret,ferret/bodytrack/nn/facedetect,1.9440078735351562,1.3722498416900635,1.4796779155731201,hash-2-itr-12-probe-2,4.0,1.0782860894709583,False,True,0.0,0.0
4,nn,ferret/bodytrack/nn/facedetect,21.02316689491272,12.970833778381348,14.795095682144165,batch-1-learning-12-regular-12,4.0,1.1406433799809645,False,True,0.0,0.0
5,bodytrack,swaptions/ferret/bodytrack/nn/facedetect,8.757810831069946,0.8427028656005859,0.9155275821685791,layer-5-particle-100,5.0,1.0864180241230006,True,True,3.3632135538891106,0.6430480565597446
5,swaptions,swaptions/ferret/bodytrack/nn/facedetect,21.938838958740234,2.2194623947143555,2.3700976371765137,num-100000,5.0,1.067870148564308,True,True,85.6796014690957,0.0
5,facedetect,swaptions/ferret/bodytrack/nn/facedetect,98.80850052833557,4.452246904373169,5.540214538574219,eyes-0-pyramid-9-selectivity-0,5.0,1.244363724108024,True,True,91.44686484365076,0.9412332261264521
5,ferret,swaptions/ferret/bodytrack/nn/facedetect,1.9440078735351562,1.3722498416900635,1.4973838329315186,hash-2-itr-12-probe-2,5.0,1.0911889274385633,False,True,0.0,0.0
5,nn,swaptions/ferret/bodytrack/nn/facedetect,21.02316689491272,12.970833778381348,16.12590765953064,batch-1-learning-12-regular-12,5.0,1.243243721649405,False,True,0.0,0.0
