AFREQ,-0.003126981016168754,-0.003255495962243408,-0.0029984660700940998
EXEC,0.0405221569634101,0.022315415947737876,0.05872889797908232
FREQ,0.0291397060728822,0.01645568349351506,0.04182372865224934
INST,0.00247698749223144,0.0012690078415512798,0.0036849671429116
INSTnom%,0.04052257143607432,0.022289919371885968,0.058755223500262674
IPC,-0.002547763930355137,-0.004196057211457751,-0.0008994706492525227
L2MPI,-0.001903488972822773,-0.10134961741480254,0.09754263946915699
L3HIT,-0.0031049759074255425,-0.003926214603330888,-0.0022837372115201973
PhysIPC%,-0.0027286995298136307,-0.004358287340193982,-0.001099111719433279
MEM,-0.02763962703247809,-0.057133221401031546,0.001853967336075367
