num,app,budget,ind_exec,exec,config,slowdown_p,slowdown_gt,success_p,success_gt,raw_qos,qos
2,swaptions,21.938838958740234,6.642896413803101,6.739640235900879,num-300000,2.0,1.0145635000263977,True,True,96.20027589799918,0.7346635225411773
2,ferret,1.9440078735351562,1.3722498416900635,1.4077205657958984,hash-2-itr-12-probe-2,2.0,1.0258485904156849,False,True,0.0,0.0
2,bodytrack,8.757810831069946,2.857672691345215,2.911348581314087,layer-3-particle-1833,2.0,1.0187830783180438,True,True,3.553656390542353,0.6845800113356241
2,swaptions,21.938838958740234,6.642896413803101,6.7847580909729,num-300000,2.0,1.0213553950465084,True,True,96.20027589799918,0.7346635225411773
2,swaptions,21.938838958740234,6.642896413803101,7.182274580001831,num-300000,2.0,1.0811962331789444,True,True,96.20027589799918,0.7346635225411773
2,svm,17.03521704673767,12.509435653686523,12.94630241394043,batch-1-learning-1-regular-45,2.0,1.0349229791293713,False,True,0.0,0.0
2,swaptions,21.938838958740234,6.642896413803101,7.294365644454956,num-300000,2.0,1.098070057106142,True,True,96.20027589799918,0.7346635225411773
2,nn,21.02316689491272,12.970833778381348,13.464277505874634,batch-1-learning-12-regular-12,2.0,1.0380425604031496,False,True,0.0,0.0
2,swaptions,21.938838958740234,6.642896413803101,6.758411645889282,num-300000,2.0,1.0173892869752048,True,True,96.20027589799918,0.7346635225411773
2,facedetect,98.80850052833557,21.4960834980011,21.751781702041626,eyes-0-pyramid-9-selectivity-1,2.0,1.0118951065697295,True,True,92.7307139386279,1.0
2,bodytrack,8.757810831069946,2.857672691345215,2.916616916656494,layer-3-particle-1833,2.0,1.0206266538116133,True,True,3.553656390542353,0.6845800113356241
2,ferret,1.9440078735351562,1.3722498416900635,1.4209392070770264,hash-2-itr-12-probe-2,2.0,1.0354814144682263,False,True,0.0,0.0
2,ferret,1.9440078735351562,1.3722498416900635,1.461155891418457,hash-2-itr-12-probe-2,2.0,1.0647885297759603,False,True,0.0,0.0
2,svm,17.03521704673767,12.509435653686523,12.99219298362732,batch-1-learning-1-regular-45,2.0,1.0385914555464801,False,True,0.0,0.0
2,ferret,1.9440078735351562,1.3722498416900635,1.4605648517608643,hash-2-itr-12-probe-2,2.0,1.0643578212856866,False,True,0.0,0.0
2,nn,21.02316689491272,12.970833778381348,13.486817359924316,batch-1-learning-12-regular-12,2.0,1.0397802940319045,False,True,0.0,0.0
2,facedetect,98.80850052833557,21.4960834980011,21.865137815475464,eyes-0-pyramid-9-selectivity-1,2.0,1.0171684445451974,True,True,92.7307139386279,1.0
2,ferret,1.9440078735351562,1.3722498416900635,1.408344030380249,hash-2-itr-12-probe-2,2.0,1.0263029279316453,False,True,0.0,0.0
2,bodytrack,8.757810831069946,2.857672691345215,3.2144217491149902,layer-3-particle-1833,2.0,1.1248390198255491,True,True,3.553656390542353,0.6845800113356241
2,svm,17.03521704673767,12.509435653686523,13.067419290542603,batch-1-learning-1-regular-45,2.0,1.044605020746211,False,True,0.0,0.0
2,bodytrack,8.757810831069946,2.857672691345215,3.1567981243133545,layer-3-particle-1833,2.0,1.1046744904950363,True,True,3.553656390542353,0.6845800113356241
2,nn,21.02316689491272,12.970833778381348,13.493439674377441,batch-1-learning-12-regular-12,2.0,1.0402908482928157,False,True,0.0,0.0
2,bodytrack,8.757810831069946,2.857672691345215,2.9089317321777344,layer-3-particle-1833,2.0,1.0179373379560799,True,True,3.553656390542353,0.6845800113356241
2,facedetect,98.80850052833557,21.4960834980011,21.838998317718506,eyes-0-pyramid-9-selectivity-1,2.0,1.0159524324395788,True,True,92.7307139386279,1.0
2,nn,21.02316689491272,12.970833778381348,14.96263575553894,batch-1-learning-12-regular-12,2.0,1.1535600572167808,False,True,0.0,0.0
2,svm,17.03521704673767,12.509435653686523,14.380426406860352,batch-1-learning-1-regular-45,2.0,1.1495663597440104,False,True,0.0,0.0
2,facedetect,98.80850052833557,21.4960834980011,22.885448932647705,eyes-0-pyramid-9-selectivity-1,2.0,1.0646334219336189,True,True,92.7307139386279,1.0
2,svm,17.03521704673767,12.509435653686523,12.97508955001831,batch-1-learning-1-regular-45,2.0,1.0372242129239906,False,True,0.0,0.0
2,facedetect,98.80850052833557,21.4960834980011,23.339606046676636,eyes-0-pyramid-9-selectivity-1,2.0,1.0857608572671837,True,True,92.7307139386279,1.0
2,nn,21.02316689491272,12.970833778381348,13.33545708656311,batch-1-learning-12-regular-12,2.0,1.0281110154066955,False,True,0.0,0.0
3,bodytrack,8.757810831069946,2.857672691345215,2.9227118492126465,layer-3-particle-1833,3.0,1.0227594846899053,True,True,3.553656390542353,0.6845800113356241
3,swaptions,21.938838958740234,6.642896413803101,6.766255855560303,num-300000,3.0,1.0185701287620377,True,True,96.20027589799918,0.7346635225411773
3,ferret,1.9440078735351562,1.3722498416900635,1.4148635864257812,hash-2-itr-12-probe-2,3.0,1.0310539257801878,False,True,0.0,0.0
3,swaptions,21.938838958740234,6.642896413803101,7.161375284194946,num-300000,3.0,1.0780501212264144,True,True,96.20027589799918,0.7346635225411773
3,ferret,1.9440078735351562,1.3722498416900635,1.4860212802886963,hash-2-itr-12-probe-2,3.0,1.0829086913637476,False,True,0.0,0.0
3,svm,17.03521704673767,12.509435653686523,13.243014812469482,batch-1-learning-1-regular-45,3.0,1.0586420666040817,False,True,0.0,0.0
3,swaptions,21.938838958740234,6.642896413803101,7.439842939376831,num-300000,3.0,1.1199697354783038,True,True,96.20027589799918,0.7346635225411773
