num,app,config,exec,ind_exec,slowdown_p,slowdown_gt
2,swaptions,num-900000,20.349734783172607,19.7791018486,1.0111276204598556,1.0288502955766416
2,ferret,hash-8-itr-25-probe-16,1.9247658252716064,2.00222611428,1.0060568730446078,0.9613129164303962
2,bodytrack,layer-5-particle-2266,5.326396703720093,5.321421861659999,1.0745004001849079,1.0009348708276515
2,swaptions,num-900000,20.26408052444458,19.7791018486,1.0128774468291315,1.0245197521887934
2,swaptions,num-600000,16.29459810256958,13.1856048107,1.1258719675214843,1.235786931013332
2,svm,batch-5-learning-1-regular-78,3.7738819122314453,3.397711753845215,1.0701265178595645,1.1107127930909724
2,swaptions,num-900000,24.909075260162354,19.7791018486,1.0544507535269831,1.2593633144128564
2,nn,batch-4-learning-56-regular-67,3.842489719390869,2.8383610248599997,1.0615304495917257,1.3537706041395483
2,swaptions,num-900000,20.302053928375244,19.7791018486,1.0114684906901767,1.0264396272276772
2,facedetect,eyes-0-pyramid-25-selectivity-0,5.747573375701904,5.65380501745,1.0560272639088393,1.016585000360376
2,bodytrack,layer-5-particle-2266,5.360213756561279,5.321421861659999,1.1528842029354827,1.0072897612536171
2,ferret,hash-8-itr-25-probe-16,1.93489408493042,2.00222611428,1.008214503173156,0.9663714158608941
2,ferret,hash-8-itr-25-probe-16,2.040584087371826,2.00222611428,1.0610748875024287,1.019157662972356
2,svm,batch-5-learning-1-regular-78,3.6926865577697754,3.397711753845215,1.132845697381608,1.0868157234323175
2,ferret,hash-8-itr-25-probe-16,2.0381031036376953,2.00222611428,1.034917251570557,1.0179185503084884
2,nn,batch-1-learning-100-regular-45,2.7191617488861084,2.62096381187,1.4051598072657232,1.0374663459950813
2,facedetect,eyes-0-pyramid-25-selectivity-0,5.77649188041687,5.65380501745,1.0193641008369325,1.0216998751439441
2,ferret,hash-8-itr-25-probe-16,1.9394030570983887,2.00222611428,1.0237366761750086,0.9686233953630144
2,bodytrack,layer-5-particle-2266,6.368301153182983,5.321421861659999,1.2441112026428915,1.196729242435294
2,svm,batch-5-learning-1-regular-78,3.6525065898895264,3.397711753845215,1.0621800428582646,1.0749901270335716
2,bodytrack,layer-5-particle-2266,6.413718223571777,5.321421861659999,1.0847062722439125,1.2052640046792005
2,nn,batch-4-learning-56-regular-67,3.4774389266967773,2.8383610248599997,1.0519686134365345,1.2251573694253006
2,bodytrack,layer-5-particle-2266,5.333096504211426,5.321421861659999,1.066613517601533,1.0021938953262737
2,facedetect,eyes-0-pyramid-25-selectivity-0,5.734799385070801,5.65380501745,1.0636295041775048,1.0143256386399635
2,nn,batch-1-learning-100-regular-45,3.3642187118530273,2.62096381187,1.2873940431616115,1.2835807562916068
2,svm,batch-5-learning-1-regular-78,4.044839143753052,3.397711753845215,1.417304465579732,1.1904597672758668
2,facedetect,eyes-0-pyramid-25-selectivity-0,6.786685228347778,5.65380501745,1.1125650903527258,1.200374828527202
2,svm,batch-5-learning-1-regular-78,3.7018203735351562,3.397711753845215,1.068689054815723,1.0895039490462308
2,facedetect,eyes-0-pyramid-25-selectivity-0,6.654752254486084,5.65380501745,1.0684426940325438,1.1770395749317042
2,nn,batch-4-learning-56-regular-67,3.453275203704834,2.8383610248599997,1.08653628283368,1.2166441032198025
3,bodytrack,layer-5-particle-4000,8.956860303878784,8.77696895598,0.7905821803758277,1.0204958396003234
3,swaptions,num-800000,18.15003991127014,17.577978134200002,0.9504917496418295,1.0325442307814188
3,ferret,hash-8-itr-14-probe-10,1.8543064594268799,2.24816179276,1.0106717130087048,0.824810058332325
3,swaptions,num-800000,23.006243228912354,17.577978134200002,1.432426777306644,1.3088105499546066
3,ferret,hash-8-itr-25-probe-16,2.0623018741607666,2.00222611428,1.0366809751568458,1.0300044832360853
3,svm,batch-5-learning-1-regular-78,3.8818206787109375,3.397711753845215,1.2136057626464032,1.1424808694609991
3,swaptions,num-800000,20.420450925827026,17.577978134200002,1.4618487937581255,1.1617064698753188
3,ferret,hash-8-itr-25-probe-16,2.0410139560699463,2.00222611428,1.0041620814324912,1.0193723583531895
3,nn,batch-1-learning-100-regular-45,2.7991838455200195,2.62096381187,1.5252204694566966,1.067997899415049
3,swaptions,num-800000,18.17912268638611,17.577978134200002,1.4937771484231899,1.0341987313669774
3,facedetect,eyes-0-pyramid-25-selectivity-0,5.779929161071777,5.65380501745,0.9677026657126842,1.0223078339688945
3,ferret,hash-8-itr-25-probe-16,1.948620319366455,2.00222611428,0.9483089956377426,0.9732269025305259
3,bodytrack,layer-5-particle-2266,6.044251918792725,5.321421861659999,1.020598590900559,1.1358340075122781
3,swaptions,num-800000,20.308889150619507,17.577978134200002,1.5404368480650743,1.155359791414588
3,svm,batch-3-learning-56-regular-67,2.875821828842163,2.7718756198883057,0.9830226176077523,1.0375003150242528
3,bodytrack,layer-5-particle-4000,10.865447759628296,8.77696895598,0.9246130087202878,1.237949890688101
3,swaptions,num-800000,22.498148441314697,17.577978134200002,1.4438133905459312,1.2799053605341522
3,nn,batch-4-learning-56-regular-67,3.5667994022369385,2.8383610248599997,1.0371043676578864,1.2566404946364667
3,bodytrack,layer-5-particle-4000,8.940419912338257,8.77696895598,0.8478614386026955,1.0186227110039958
3,swaptions,num-800000,18.11551833152771,17.577978134200002,1.4718972181354424,1.0305803200586454
3,facedetect,eyes-0-pyramid-25-selectivity-0,5.753024101257324,5.65380501745,0.9046038789667481,1.0175490812826218
3,swaptions,num-800000,26.04239296913147,17.577978134200002,1.432426777306644,1.4815351782957884
