app,config,exec,slowdown
swaptions,num-1000000,25.673090934753418,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.425665616989136,1.0
svm,batch-2-learning-34-regular-1,2.8225576877593994,1.0
bodytrack,layer-5-particle-4000,12.286089658737183,1.0
swaptions,num-1000000,29.810762882232666,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.842496633529663,1.0
nn,batch-4-learning-56-regular-67,4.042119741439819,1.0
swaptions,num-1000000,32.17856049537659,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.758432865142822,1.0
nn,batch-4-learning-56-regular-67,4.184183120727539,1.0
svm,batch-2-learning-34-regular-1,3.4993736743927,1.0
bodytrack,layer-5-particle-4000,13.37065601348877,1.0
ferret,hash-8-itr-4-probe-20,2.271130084991455,1.0
nn,batch-4-learning-56-regular-67,4.27811336517334,1.0
svm,batch-2-learning-34-regular-1,3.2507481575012207,1.0
bodytrack,layer-5-particle-4000,10.401806116104126,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.496307849884033,1.0
ferret,hash-8-itr-4-probe-20,2.1740236282348633,1.0
svm,batch-2-learning-34-regular-1,2.9334232807159424,1.0
bodytrack,layer-5-particle-4000,11.842902660369873,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.261364698410034,1.0
ferret,hash-8-itr-4-probe-20,2.128242254257202,1.0
nn,batch-4-learning-56-regular-67,3.935220956802368,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.788514137268066,1.0
ferret,hash-8-itr-4-probe-20,2.2501251697540283,1.0
nn,batch-4-learning-56-regular-67,4.305732488632202,1.0
svm,batch-2-learning-34-regular-1,3.456777811050415,1.0
bodytrack,layer-5-particle-4000,12.7056245803833,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.415827751159668,1.0
nn,batch-4-learning-56-regular-67,3.9949791431427,1.0
svm,batch-2-learning-34-regular-1,3.4189741611480713,1.0
bodytrack,layer-5-particle-4000,15.31665825843811,1.0
swaptions,num-1000000,38.415008783340454,1.0
ferret,hash-8-itr-4-probe-20,2.3452048301696777,1.0
nn,batch-4-learning-56-regular-67,4.3881518840789795,1.0
svm,batch-2-learning-34-regular-1,3.727997064590454,1.0
bodytrack,layer-5-particle-4000,10.355521440505981,1.0
swaptions,num-1000000,31.148319482803345,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.53076696395874,1.0
ferret,hash-8-itr-4-probe-20,2.1469810009002686,1.0
svm,batch-2-learning-34-regular-1,3.4474539756774902,1.0
bodytrack,layer-5-particle-4000,16.11234760284424,1.0
swaptions,num-1000000,31.51291513442993,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.810017824172974,1.0
ferret,hash-8-itr-4-probe-20,2.1485118865966797,1.0
nn,batch-4-learning-56-regular-67,4.4389495849609375,1.0
swaptions,num-1000000,39.2517192363739,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,8.966487169265747,1.0
ferret,hash-8-itr-4-probe-20,3.728443145751953,1.0
nn,batch-4-learning-56-regular-67,4.568063497543335,1.0
svm,batch-2-learning-34-regular-1,3.729064702987671,1.0
bodytrack,layer-5-particle-4000,13.745214939117432,1.0
swaptions,num-1000000,39.81381940841675,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,9.911341905593872,1.0
nn,batch-4-learning-56-regular-67,5.1814961433410645,1.0
svm,batch-2-learning-34-regular-1,3.1575067043304443,1.0
bodytrack,layer-5-particle-4000,13.60816740989685,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,8.322349309921265,1.0
ferret,hash-8-itr-4-probe-20,3.931199789047241,1.0
nn,batch-4-learning-56-regular-67,4.4306800365448,1.0
svm,batch-2-learning-34-regular-1,3.7500946521759033,1.0
bodytrack,layer-5-particle-4000,16.501181602478027,1.0
swaptions,num-1000000,43.91945290565491,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,8.552456617355347,1.0
ferret,hash-8-itr-4-probe-20,2.2705013751983643,1.0
nn,batch-4-learning-56-regular-67,4.561880588531494,1.0
svm,batch-2-learning-34-regular-1,4.512094259262085,1.0
