app,config,exec,slowdown
swaptions,num-600000,13.600151538848877,1.562185420910616
ferret,hash-8-itr-17-probe-8,1.7891483306884766,1.0192134428979052
bodytrack,layer-5-particle-2266,5.414154529571533,1.0255418614122818
swaptions,num-300000,6.769715309143066,2.434718106408496
swaptions,num-300000,8.255314826965332,2.394809337473883
svm,batch-5-learning-45-regular-23,3.660651683807373,1.0740396567858024
swaptions,num-300000,8.079318284988403,1.8580918578656294
nn,batch-4-learning-56-regular-67,3.6684987545013428,1.058724703002292
swaptions,num-800000,17.978436708450317,1.243867423171753
facedetect,eyes-0-pyramid-25-selectivity-0,5.749270915985107,1.0517660393689152
bodytrack,layer-5-particle-2266,5.390380144119263,1.1528842029354827
ferret,hash-8-itr-25-probe-16,1.9227592945098877,1.008214503173156
ferret,hash-8-itr-25-probe-16,2.034677743911743,1.0610748875024287
svm,batch-5-learning-45-regular-23,3.6493947505950928,1.132845697381608
ferret,hash-8-itr-25-probe-16,2.0473692417144775,1.034917251570557
nn,batch-1-learning-100-regular-45,2.645220994949341,1.4051598072657232
facedetect,eyes-0-pyramid-25-selectivity-0,5.763586759567261,1.0193641008369325
ferret,hash-8-itr-25-probe-16,1.9286606311798096,1.0237366761750086
bodytrack,layer-5-particle-2266,6.3287975788116455,1.2441112026428915
svm,batch-5-learning-45-regular-23,3.6291723251342773,1.0621800428582646
bodytrack,layer-5-particle-2266,6.41902494430542,1.0847062722439125
nn,batch-4-learning-56-regular-67,3.3593645095825195,1.0519686134365345
bodytrack,layer-5-particle-2266,5.358928442001343,1.066613517601533
facedetect,eyes-0-pyramid-25-selectivity-0,5.748996734619141,1.0636295041775048
nn,batch-1-learning-100-regular-45,2.9598658084869385,1.2873940431616115
svm,batch-5-learning-45-regular-23,4.035013914108276,1.417304465579732
facedetect,eyes-0-pyramid-25-selectivity-0,6.713414192199707,1.1125650903527258
svm,batch-5-learning-45-regular-23,3.741039276123047,1.068689054815723
facedetect,eyes-0-pyramid-25-selectivity-0,7.031768798828125,1.0684426940325438
nn,batch-4-learning-56-regular-67,3.4847490787506104,1.08653628283368
bodytrack,layer-5-particle-4000,9.020051717758179,0.8396622395884495
swaptions,num-100000,2.323042869567871,5.345696352902898
ferret,hash-8-itr-14-probe-10,1.8838024139404297,1.0016864081227734
swaptions,num-300000,8.716301441192627,2.167399364114926
ferret,hash-8-itr-25-probe-16,2.1193604469299316,1.0428677159730961
svm,batch-5-learning-45-regular-23,3.8307080268859863,1.1988324977837894
swaptions,num-600000,15.085403203964233,1.6153592448263692
ferret,hash-8-itr-25-probe-16,2.056107759475708,1.0068208885947907
nn,batch-1-learning-100-regular-45,2.698720693588257,1.50427826880487
swaptions,num-600000,13.68801760673523,1.5448458278052422
facedetect,eyes-0-pyramid-25-selectivity-0,5.791363477706909,0.984140776633455
ferret,hash-8-itr-25-probe-16,1.9550211429595947,0.9488629903016077
bodytrack,layer-5-particle-2266,5.822892904281616,1.0479480468657874
swaptions,num-600000,14.744778156280518,1.5459380716257065
svm,batch-2-learning-34-regular-1,2.629103183746338,1.0190180757849467
bodytrack,layer-5-particle-4000,9.94309663772583,0.9403913567612608
swaptions,num-600000,15.243382453918457,1.642460502452397
nn,batch-2-learning-78-regular-67,2.74568510055542,0.4988322835256579
bodytrack,layer-5-particle-4000,8.976555585861206,0.8600337131722163
swaptions,num-800000,18.10055184364319,1.1705086336328199
facedetect,eyes-0-pyramid-25-selectivity-0,5.75422215461731,0.9201302988096589
swaptions,num-300000,9.07016110420227,2.185671130837398
nn,batch-1-learning-100-regular-45,3.0428802967071533,1.3720195505189183
svm,batch-5-learning-45-regular-23,4.25877046585083,1.3409873657740108
swaptions,num-600000,14.780164003372192,1.5154747052855329
facedetect,eyes-0-pyramid-25-selectivity-0,6.2207348346710205,0.9759437673465101
svm,batch-2-learning-34-regular-1,2.62876558303833,1.0275171141969879
swaptions,num-600000,15.212133646011353,1.6104727843219733
facedetect,eyes-0-pyramid-25-selectivity-0,6.301547050476074,0.9440071622302397
nn,batch-2-learning-78-regular-67,2.806478261947632,0.9567300589886635
bodytrack,layer-5-particle-2266,6.3914101123809814,1.3005567954338852
ferret,hash-8-itr-25-probe-16,2.0569875240325928,1.0250188224998222
svm,batch-5-learning-45-regular-23,3.6276304721832275,1.1019621384336913
bodytrack,layer-5-particle-100,0.9760208129882812,1.1397860133737165
ferret,hash-8-itr-25-probe-16,2.088299036026001,1.0070592185895049
nn,batch-1-learning-100-regular-45,2.70839524269104,1.4333530477386875
bodytrack,layer-5-particle-4000,9.060168266296387,0.9023582752388747
facedetect,eyes-0-pyramid-25-selectivity-0,5.792704343795776,0.8607185571454908
ferret,hash-8-itr-14-probe-10,1.8619813919067383,1.0119860685141266
ferret,hash-8-itr-25-probe-16,2.166036605834961,1.0114213338421103
nn,batch-1-learning-100-regular-45,3.2501275539398193,1.2783934066025413
svm,batch-5-learning-45-regular-23,4.436634063720703,1.621526568402452
facedetect,eyes-0-pyramid-25-selectivity-0,6.672842979431152,1.0503691335327794
ferret,hash-8-itr-25-probe-16,2.0636484622955322,1.0416877836042224
svm,batch-5-learning-45-regular-23,3.764108657836914,1.1179992190521284
facedetect,eyes-0-pyramid-25-selectivity-0,6.309918165206909,1.0167663140675336
